step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
4	0.0900	0.8200	0.1800	0.0000	4	4	5	0	2.442639e-34	1.670992e-29	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	5	5	6	0	1.228968e-31	3.233959e-29	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	6	6	7	0	1.228969e-31	3.233960e-29	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	7	7	8	0	2.442548e-34	1.670991e-29	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	8	8	9	0	1.200054e-34	8.355996e-30	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	9	9	10	0	0.000000e0	0.000000e0	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	10	10	11	0	0.000000e0	0.000000e0	2.466423e-31
4	0.0900	0.8200	0.1800	0.0000	11	6	12	1	0.000000e0	0.000000e0	2.466423e-31
5	0.1100	0.7800	0.2200	0.0000	0	0	1	0	0.000000e0	0.000000e0	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	1	1	2	0	0.000000e0	0.000000e0	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	2	2	3	0	4.564374e-31	8.812433e-30	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	3	3	4	0	4.571211e-31	8.813118e-30	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	4	4	5	0	9.347862e-31	1.764471e-29	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	5	5	6	0	1.986435e-28	2.309831e-28	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	6	6	7	0	1.986436e-28	2.309832e-28	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	7	7	8	0	9.347301e-31	1.764464e-29	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	8	8	9	0	4.564930e-31	8.812489e-30	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	9	9	10	0	0.000000e0	0.000000e0	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	10	10	11	0	0.000000e0	0.000000e0	4.005266e-28
5	0.1100	0.7800	0.2200	0.0000	11	6	12	1	0.000000e0	0.000000e0	4.005266e-28
