step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
4	0.0900	0.8200	0.1800	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.973617e-5
4	0.0900	0.8200	0.1800	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.973617e-5
4	0.0900	0.8200	0.1800	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.973617e-5
5	0.1100	0.7800	0.2200	0.0000	0	0	1	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	1	0	2	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	2	0	4	0	1.659996e-9	1.807793e-9	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	3	0	6	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	4	0	8	0	8.125521e-5	1.044970e-4	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	5	5	8	0	0.000000e0	2.187912e-33	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	6	7	8	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	7	8	9	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	8	3	4	0	0.000000e0	4.982321e-38	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	9	3	10	0	0.000000e0	0.000000e0	8.125687e-5
5	0.1100	0.7800	0.2200	0.0000	10	5	11	1	0.000000e0	0.000000e0	8.125687e-5
6	0.1300	0.7400	0.2600	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	1	0	2	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	2	0	4	0	1.288078e-8	1.468857e-8	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	3	0	6	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	4	0	8	0	2.559693e-4	3.604663e-4	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	5	5	8	0	0.000000e0	2.187912e-33	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	6	7	8	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	7	8	9	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	8	3	4	0	0.000000e0	4.982321e-38	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	9	3	10	0	0.000000e0	0.000000e0	2.559821e-4
6	0.1300	0.7400	0.2600	0.0000	10	5	11	1	0.000000e0	0.000000e0	2.559821e-4
7	0.1500	0.7000	0.3000	0.0000	0	0	1	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	1	0	2	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	2	0	4	0	5.006795e-8	6.475653e-8	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	3	0	6	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	4	0	8	0	6.592204e-4	1.019687e-3	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	5	5	8	0	0.000000e0	2.187912e-33	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	6	7	8	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	7	8	9	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	8	3	4	0	0.000000e0	4.982321e-38	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	9	3	10	0	0.000000e0	0.000000e0	6.592705e-4
7	0.1500	0.7000	0.3000	0.0000	10	5	11	1	0.000000e0	0.000000e0	6.592705e-4
8	0.1700	0.6600	0.3400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	2	0	4	0	1.762012e-7	2.409577e-7	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	4	0	8	0	1.441908e-3	2.461595e-3	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.442085e-3
8	0.1700	0.6600	0.3400	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.442085e-3
9	0.1900	0.6200	0.3800	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	1	0	2	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	2	0	4	0	5.695586e-7	8.105163e-7	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	3	0	6	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	4	0	8	0	2.749815e-3	5.211411e-3	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	5	5	8	0	0.000000e0	2.187912e-33	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	6	7	8	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	7	8	9	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	8	3	4	0	0.000000e0	4.982321e-38	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	9	3	10	0	0.000000e0	0.000000e0	2.750385e-3
9	0.1900	0.6200	0.3800	0.0000	10	5	11	1	0.000000e0	0.000000e0	2.750385e-3
10	0.2100	0.5800	0.4200	0.0000	0	0	1	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	1	0	2	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	2	0	4	0	1.685683e-6	2.496200e-6	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	3	0	6	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	4	0	8	0	4.706476e-3	9.917886e-3	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	5	5	8	0	0.000000e0	2.187912e-33	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	6	7	8	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	7	8	9	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	8	3	4	0	0.000000e0	4.982321e-38	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	9	3	10	0	0.000000e0	0.000000e0	4.708161e-3
10	0.2100	0.5800	0.4200	0.0000	10	5	11	1	0.000000e0	0.000000e0	4.708161e-3
11	0.2300	0.5400	0.4600	0.0000	0	0	1	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	1	0	2	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	2	0	4	0	4.437589e-6	6.933789e-6	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	3	0	6	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	4	0	8	0	7.320427e-3	1.723831e-2	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	5	5	8	0	0.000000e0	2.187912e-33	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	6	7	8	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	7	8	9	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	8	3	4	0	0.000000e0	4.982321e-38	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	9	3	10	0	0.000000e0	0.000000e0	7.324865e-3
11	0.2300	0.5400	0.4600	0.0000	10	5	11	1	0.000000e0	0.000000e0	7.324865e-3
12	0.2500	0.5000	0.5000	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	2	0	4	0	1.028804e-5	1.722183e-5	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	4	0	8	0	1.057057e-2	2.780888e-2	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.058086e-2
12	0.2500	0.5000	0.5000	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.058086e-2
13	0.2700	0.4600	0.5400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.353795e-2
